reducido,2017 - 03,2017 - 04,2017 - 05,2017 - 06,2017 - 07,2017 - 08,2018 - 01,2018 - 02,2018 - 03,2018 - 04,2018 - 05,2018 - 06,2018 - 07,2018 - 08,2019 - 01,2019 - 02,2019 - 03,2019 - 04,2019 - 05,2019 - 06,2019 - 07,2019 - 08,2020 - 01,2020 - 02,2020 - 03,2020 - 04,2020 - 05,2020 - 06
Est. Prac. Edu.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,"Metodologías activas, aprendizaje situado y didáctica diferencial",Desarrollo humano,Creación y Evaluación de Materiales Didácticos ,Proceso de enseñanza-aprendizaje,Habilidades Sociales y Emocionales,"Metodologías activas, aprendizaje situado y didáctica diferencial",Desarrollo humano,Creación y Evaluación de Materiales Didácticos ,Proceso de enseñanza-aprendizaje,Habilidades Sociales y Emocionales,"Metodologías activas, aprendizaje situado y didáctica diferencial"
Est. Temprana,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Habilidades Cognitivas,Lenguaje,Creación y Evaluación de Materiales Didácticos ,Neurodesarrollo,Habilidades Sociales y Emocionales,Habilidades Cognitivas,Lenguaje,Creación y Evaluación de Materiales Didácticos ,Neurodesarrollo,Habilidades Sociales y Emocionales,Habilidades Cognitivas
Estr. Transf. Digital,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Creativity Workshop: pensamiento lateral aplicado,Big data y Business Analyitics,Sin clase
Estrat. Comercial,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Coaching,Sin clase,Sin clase,Sin clase,Sin clase,Gestión del talento humano para apoyar la estrategia comercial,Comunicación en Medios Digitales,Proceso administrativo de la venta,Visión Comercial,HUBS B2B,Gestión del talento humano para apoyar la estrategia comercial,Comunicación en Medios Digitales,Proceso administrativo de la venta,Visión Comercial,HUBS B2B,Gestión del talento humano para apoyar la estrategia comercial,Comunicación en Medios Digitales,Proceso administrativo de la venta,Visión Comercial,HUBS B2B
Estrategia Tal. Hum.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Planeación Estratégica del Capital Humano,Gestión del Cambio,Estructura de Remuneración,Entrenamiento del Capital Humano,"Atracción, Selección e Integración del Capital Humano",Planeación Estratégica del Capital Humano,Gestión del Cambio,Estructura de Remuneración,Entrenamiento del Capital Humano,"Atracción, Selección e Integración del Capital Humano",Planeación Estratégica del Capital Humano,Gestión del Cambio,Estructura de Remuneración,Entrenamiento del Capital Humano,"Atracción, Selección e Integración del Capital Humano"
Etica Inv. Responsable,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Decisión y Análisis de Inversión,Ética y responsabilidad social,Sin clase,Sin clase,Sin clase
Exp. Clin. Elec.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Gestión del Cambio,E-Health Y Telemedicina,Inmersión al uso del Expediente Clínico Electrónico,Data Driven Decisions,Ética Médica y nuevos derechos de los pacientes frente a las TIC,Big data y Business Analyitics,E-Health Y Telemedicina,Inmersión al uso del Expediente Clínico Electrónico,Responsabilidad Médica
Fin. Corp. Avan.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Decisión y Análisis de Inversión,Decisión de Financiamiento y Pago de Dividendos,Fusiones y Adquisiciones,Estrategias de negocios,Valuación de Empresas,Decisión y Análisis de Inversión,Decisión de Financiamiento y Pago de Dividendos,Fusiones y Adquisiciones,Estrategias de negocios,Valuación de Empresas,Decisión y Análisis de Inversión,Decisión de Financiamiento y Pago de Dividendos,Fusiones y Adquisiciones,Estrategias de negocios,Valuación de Empresas
Fin. Corporativas,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Social Media,Fundamentos de mercadotecnia digital,Sin clase,La función empresarial en la administración financiera ,La función empresarial en la administración financiera ,El Modelo de formulación de proyectos de inversión,El costo de capital y las fuentes de financiamiento,El Análisis financiero en la organización
Fin. Era Digital,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Analizando y evaluando mi situación actual,Las inversiones,El Crédito,Los seguros y las pensiones
Fintech,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Fundamentos Fintech,Crowdfunding,Marco regulatorio de las Fintech,Tecnología Blockchain,Fundamentos Fintech,Disrupción financiera y banca digital,Crowdfunding
Gest. Esc.,Liderazgo y Motivación,Evaluación de Instituciones Educativos,Toma de Decisiones,Contabilidad Financiera y Presupuestos,Gestión de Centros Educativos,Liderazgo y Motivación,Evaluación de Instituciones Educativos,Toma de Decisiones,Contabilidad Financiera y Presupuestos,Gestión de Centros Educativos,Liderazgo y Motivación,Evaluación de Instituciones Educativos,Toma de Decisiones,Gestión de Centros Educativos,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Evaluación de Instituciones Educativos,Toma de Decisiones,Gestión de Centros Educativos,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Evaluación de Instituciones Educativos,Toma de Decisiones,Gestión de Centros Educativos,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Evaluación de Instituciones Educativos,Toma de Decisiones
Gest. Tal.,Sin clase,Empowerment,Trabajo en Equipo,Coaching,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Empowerment,Trabajo en Equipo,Coaching,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Empowerment,Trabajo en Equipo,Coaching,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Empowerment,Trabajo en Equipo,Coaching,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Empowerment,Trabajo en Equipo,Coaching,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Empowerment,Trabajo en Equipo
Gob. Adm. P. E.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Gobierno abierto,Open data,Gobierno electrónico,Smart cities,Cibertransparencia y rendición de cuentas,Gobierno abierto,Open data,Gobierno electrónico
H. Arte Contemporaneo,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Siglo XIX. Historia y Arte,Impresionismo y Post Impresionismo,Las Vanguardias
H. Arte Renacimiento,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Renacimiento. Origen y Contexto,Ciencia y Arte,El Quatrocentto Italiano
Hab. Geren.,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Manejo del Estrés,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Manejo del Estrés,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Manejo del Estrés,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Manejo del Estrés,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Manejo del Estrés,Creativity Workshop: pensamiento lateral aplicado,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo
Hist. Arte. Ant.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Teoría del Arte,Arte prehistórico y protohistórico,Arte de Mesopotamia,Arte del Antiguo Egipto,El Imperio Persa y el Levante Mediterráneo Antiguo,Teoría del Arte,Arte prehistórico y protohistórico,Arte de Mesopotamia,Arte del Antiguo Egipto
Hist. Arte. Clasico,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Filosofía y Arte,Arte Pre Helénico,Arte Griego,Arte Romano,Arte Paleocristiano,Filosofía y Arte,Arte Pre Helénico,Arte Griego
Hist. Arte. Medieval,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Arte y Religión,Arte Bizantino,Arte del Islam,Arte Románico,Arte Gótico,Arte y Religión,Arte Bizantino,Arte del Islam
I. A.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Introducción a la Inteligencia Artificial,Redes Neuronales,Componentes básicos en Inteligencia Artificial,Data Science,Sistemas cognitivos y representación del conocimiento,Introducción a la Inteligencia Artificial,Redes Neuronales,Componentes básicos en Inteligencia Artificial
Inc. Edu.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Inclusión,Marco Normativo,Discapacidad,Accesibilidad en los procesos de enseñanza - aprendizaje.,Cultura escolar incluyente,Inclusión,Marco Normativo,Discapacidad,Accesibilidad en los procesos de enseñanza - aprendizaje.
Inclusion Laboral,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Discapacidad,Apoyos,Empleo Incluyente,Inclusión,Marco Normativo,Discapacidad,Apoyos
Inn. Diseno Edu.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Fundamentos teórico-metodológicos del diseño curricular,"Metodologías activas, aprendizaje situado y didáctica diferencial",Evaluación curricular,Innovación para el diseño y desarrollo curricular,Proceso de enseñanza-aprendizaje,Fundamentos teórico-metodológicos del diseño curricular,"Metodologías activas, aprendizaje situado y didáctica diferencial",Evaluación curricular,Innovación para el diseño y desarrollo curricular,Proceso de enseñanza-aprendizaje,Fundamentos teórico-metodológicos del diseño curricular,"Metodologías activas, aprendizaje situado y didáctica diferencial"
Inn. Negocios,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Mercadotecnia Estratégica,Comunicación en Medios Digitales,Innovación en negocios,Desarrollo emprendedor de negocios,Nuevos modelos de negocios,Mercadotecnia Estratégica,Comunicación en Medios Digitales,Innovación en negocios,Desarrollo emprendedor de negocios,Nuevos modelos de negocios,Mercadotecnia Estratégica,Comunicación en Medios Digitales,Innovación en negocios,Desarrollo emprendedor de negocios,Nuevos modelos de negocios
Inn. Tec. Edu.,Sin clase,Sin clase,Estrategias de Aprendizaje en Educación a Distancia,Diseño Instruccional para Programas a Distancia,Creativity Workshop: pensamiento lateral aplicado,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Diseño Instruccional para Programas a Distancia,Creativity Workshop: pensamiento lateral aplicado,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Diseño Instruccional para Programas a Distancia,Creativity Workshop: pensamiento lateral aplicado,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Diseño Instruccional para Programas a Distancia,Creativity Workshop: pensamiento lateral aplicado,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Diseño Instruccional para Programas a Distancia,Creativity Workshop: pensamiento lateral aplicado,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia
Interv. Edu.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,El desarrollo infantil,"Metodologías activas, aprendizaje situado y didáctica diferencial",El desarrollo del adolescente,"Estrategias sistémicas: escuela, familia y sociedad ",Orientación vocacional y tutoría,El desarrollo infantil,"Metodologías activas, aprendizaje situado y didáctica diferencial",El desarrollo del adolescente,"Estrategias sistémicas: escuela, familia y sociedad ",Orientación vocacional y tutoría,El desarrollo infantil,"Metodologías activas, aprendizaje situado y didáctica diferencial"
Interv. Psicoped,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Desarrollo humano,Estrategias de intervención para procesos psicológicos,Proceso de enseñanza-aprendizaje,Proceso de intervención psicopedagógica,Estrategias de intervención para aptitudes académicas,Desarrollo humano,Estrategias de intervención para procesos psicológicos,Proceso de enseñanza-aprendizaje,Proceso de intervención psicopedagógica,Estrategias de intervención para aptitudes académicas,Desarrollo humano,Estrategias de intervención para procesos psicológicos,Proceso de enseñanza-aprendizaje,Proceso de intervención psicopedagógica,Estrategias de intervención para aptitudes académicas
Intro. Fin,Finanzas para no Financieros,Planeación Estratégica,Toma de Decisiones,Administración de Proyectos,Cultura Financiera,Finanzas para no Financieros,Planeación Estratégica,Toma de Decisiones,Administración de Proyectos,Cultura Financiera,Finanzas para no Financieros,Planeación Estratégica,Toma de Decisiones,Administración de Proyectos,Cultura Financiera,Finanzas para no Financieros,Planeación Estratégica,Toma de Decisiones,Administración de Proyectos,Cultura Financiera,Finanzas para no Financieros,Planeación Estratégica,Toma de Decisiones,Administración de Proyectos,Cultura Financiera,Finanzas para no Financieros,Planeación Estratégica,Toma de Decisiones
Inv. Mercados,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Fundamentos de entendimiento de mercado,Posicionamiento de marca,Innovación y desarrollo de productos,Sistemas de Información de Mercadotecnia,Investigación cualitativa,Fundamentos de entendimiento de mercado,Posicionamiento de marca,Innovación y desarrollo de productos,Sistemas de Información de Mercadotecnia,Investigación cualitativa
Lider. Inst. Edu.,Sin clase,Sin clase,Trabajo en Equipo,Contabilidad Financiera y Presupuestos,Gestión de Centros Educativos,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Contabilidad Financiera y Presupuestos,Gestión de Centros Educativos,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Gestión de Centros Educativos,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Gestión de Centros Educativos,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo,Gestión de Centros Educativos,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Planeación Estratégica,Trabajo en Equipo
Lit. Lat. S. XX,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Del modernismo a las vanguardias. La apuesta por una estética propia.,Pensar Latinoamérica: contexto histórico de las primeras décadas del siglo XX.,De la literatura de corte histórico y social al realismo mágico.,La segunda mitad del siglo XX a partir de los sucesos históricos clave. ,Del postboom hacia las propuestas literarias de fin de siglo. ,Del modernismo a las vanguardias. La apuesta por una estética propia.,Pensar Latinoamérica: contexto histórico de las primeras décadas del siglo XX.,De la literatura de corte histórico y social al realismo mágico.
Marca Personal,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Marca personal,Liderazgo y Motivación,Comunicación y Negociación Efectiva,Comunicación corporativa,Protocolo corporativo,Marca personal,Liderazgo y Motivación,Comunicación y Negociación Efectiva,Comunicación corporativa
Med. Sueno,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Conceptos Básicos del ciclo Sueño-Vigilia,Neuroanatomía del Sueño
Mercadotecnia,Liderazgo y Motivación,Sistemas de Información de Mercadotecnia,Finanzas para el Manejo de Marcas,Mercadotecnia Estratégica,Comunicación en Medios Digitales,Liderazgo y Motivación,Sistemas de Información de Mercadotecnia,Finanzas para el Manejo de Marcas,Mercadotecnia Estratégica,Comunicación en Medios Digitales,Liderazgo y Motivación,Sistemas de Información de Mercadotecnia,Finanzas para el Manejo de Marcas,Mercadotecnia Estratégica,Comunicación en Medios Digitales,Liderazgo y Motivación,Sistemas de Información de Mercadotecnia,Finanzas para el Manejo de Marcas,Mercadotecnia Estratégica,Comunicación en Medios Digitales,Liderazgo y Motivación,Sistemas de Información de Mercadotecnia,Finanzas para el Manejo de Marcas,Mercadotecnia Estratégica,Comunicación en Medios Digitales,Liderazgo y Motivación,Sistemas de Información de Mercadotecnia,Finanzas para el Manejo de Marcas
Mkt. Digital,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Big data y Business Analyitics,Liderazgo y Motivación,Fundamentos de mercadotecnia digital,Publicidad Digital,Planeación de Mercadotecnia Digital,Big data y Business Analyitics,Social Media,Fundamentos de mercadotecnia digital,Publicidad Digital,Planeación de Mercadotecnia Digital,Big data y Business Analyitics,Social Media,Fundamentos de mercadotecnia digital,Publicidad Digital
Mkt. Farmaceutico,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Finanzas para el Manejo de Marcas,CIM Farmacéutico (Comunicaciones Integradas al Marketing),Comunicación en Medios Digitales,Mercado farmacéutico y su Normatividad,Sistemas de Información de Mercadotecnia,Finanzas para el Manejo de Marcas,CIM Farmacéutico (Comunicaciones Integradas al Marketing),Comunicación en Medios Digitales,Mercado farmacéutico y su Normatividad,Sistemas de Información de Mercadotecnia,Finanzas para el Manejo de Marcas
Mkt. Farmaceutico A.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,El Neuromarketing y la ingeniería del branding,CIM Farmacéutico (Comunicaciones Integradas al Marketing),Big data y Business Analyitics,Mercadotecnia Social en Farma,Planeación Estratégica y Mercados especializados.,El Neuromarketing y la ingeniería del branding,CIM Farmacéutico (Comunicaciones Integradas al Marketing),Big data y Business Analyitics,Mercadotecnia Social en Farma,Planeación Estratégica y Mercados especializados.,El Neuromarketing y la ingeniería del branding
Monitores Esc.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Marco Normativo,Discapacidad,Rol del monitor,Adecuaciones ,Inclusión,Marco Normativo,Discapacidad,Rol del monitor
Neg. Dig. Y Eco. C.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Fundamentos Fintech,Crowdsourcing,Crowdfunding,Negocios digitales,Modelos exitosos de economía colaborativa,Fundamentos Fintech,Modelos exitosos de economía colaborativa,Crowdfunding
Neuromarketing,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Marketing Analytics,Comunicación en Medios Digitales,Neuromarketing aplicado a experiencias digitales,Sistemas de Información de Mercadotecnia,El Neuromarketing y la ingeniería del branding,Marketing Analytics,Comunicación en Medios Digitales,Neuromarketing aplicado a experiencias digitales,Sistemas de Información de Mercadotecnia,El Neuromarketing y la ingeniería del branding,Marketing Analytics,Comunicación en Medios Digitales,Neuromarketing aplicado a experiencias digitales,Sistemas de Información de Mercadotecnia,El Neuromarketing y la ingeniería del branding
Nutricion y Antiaging,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Antecedentes y evolución de la alimentación,Coaching en Salud,Introducción a la nutrición,Metabolismo y envejecimiento,Fundamentos de antiaging,Dietoterapia y fitness,Coaching en Salud
Obesidad. Inf.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Obesidad Infantil generalidades,Diagnóstico de Obesidad Infantil,Tratamientos Tradicionales de Obesidad Infantil,Tratamientos Farmacológicos de Obesidad Infantil,Futuro de la Obesidad Infantil,Obesidad Infantil generalidades,Diagnóstico de Obesidad Infantil,Tratamientos Tradicionales de Obesidad Infantil,Tratamientos Farmacológicos de Obesidad Infantil
Oren. Edu. Fam,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,"Persona, formación y trascendencia",Estrategias de orientación familiar,Factores clave para la funcionalidad familiar,Análisis y solución de casos,"Familias, problemáticas y dinámica familiar","Persona, formación y trascendencia",Estrategias de orientación familiar,Factores clave para la funcionalidad familiar
P. Aux. Psic.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Primeros auxilios psicológicos en adolescentes,Aspectos generales,Primeros auxilios psicológicos (PAP) y su aplicación en niños,Aplicación de primeros auxilios psicológicos en adultos,El autocuidado,Primeros auxilios psicológicos en adolescentes,Aspectos generales,Primeros auxilios psicológicos (PAP) y su aplicación en niños,Aplicación de primeros auxilios psicológicos en adultos
Planeacion Estrat.,Liderazgo y Motivación,Planeación Estratégica,Toma de Decisiones,Mercadotecnia Estratégica,Calidad,Liderazgo y Motivación,Planeación Estratégica,Toma de Decisiones,Mercadotecnia Estratégica,Calidad,Liderazgo y Motivación,Planeación Estratégica,Toma de Decisiones,Mercadotecnia Estratégica,Calidad,Liderazgo y Motivación,Planeación Estratégica,Toma de Decisiones,Mercadotecnia Estratégica,Calidad,Liderazgo y Motivación,Planeación Estratégica,Toma de Decisiones,Mercadotecnia Estratégica,Calidad,Liderazgo y Motivación,Planeación Estratégica,Toma de Decisiones
Precios Transf.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Principios: Precios de Transferencia,Marco conceptual,BEPS,Metodología,Caso Práctico ,Principios: Precios de Transferencia,Marco conceptual,BEPS,Metodología,Caso Práctico 
Prin. Fiscales,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Principios: Precios de Transferencia,ISR Personas Morales,ISR Personas Físicas,IVA,ISR Personas Morales,Principios: Precios de Transferencia,ISR Personas Morales,ISR Personas Físicas,IVA,Código Fiscal
Prof. Deportiva.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Metodología moderna de la preparación deportiva,Innovaciones en la preparación física contemporánea,Tendencias actuales del entrenamiento infantil (de 6 a 12 años),Tendencias actuales de entrenamiento juvenil (de 12 a 18 años),Tendencias actuales de entrenamiento universitario (de 19 a 24 años),Metodología moderna de la preparación deportiva,Innovaciones en la preparación física contemporánea,Tendencias actuales del entrenamiento infantil (de 6 a 12 años),Tendencias actuales de entrenamiento juvenil (de 12 a 18 años),Tendencias actuales de entrenamiento universitario (de 19 a 24 años),Metodología moderna de la preparación deportiva,Innovaciones en la preparación física contemporánea,Tendencias actuales del entrenamiento infantil (de 6 a 12 años)
